id,name,email,role,level,assignedRegion,jurisdiction,designation,departmentId,parentId,contactNumber,officeAddress,createdAt,updatedAt,isActive,blockJurisdiction,panchayatArea,wardNumber,specialization,fieldArea,panchayatDetails,gramSabhaArea,villageCount,panchayatWorkers,panchayatOfficers
cm7258yni0000u64g9hccfzs7,Shrawani Singh,kunaldp379@gmail.com,DISTRICT_MAGISTRATE,TOP,,,,,,9892885090,,2025-02-14 00:12:26,2025-02-14 00:13:31,true,,,,,,,,,,
cm7258yni0000u64g9hcqfzs7,Arvind Kumar,arvind.kumar.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Lucknow,Lucknow District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543210,Lucknow District Magistrate Office,2025-02-12 16:47:15.054,2025-02-12 16:48:41.203,true,,,,,,,,,,
cm7258yo20001u64g6sq5jjk4,Anita Singh,anita.singh.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Kanpur Nagar,Kanpur Nagar District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543211,Kanpur Nagar District Magistrate Office,2025-02-12 16:47:15.074,2025-02-12 16:48:41.216,true,,,,,,,,,,
cm7258yoe0002u64gc2cp3uox,Rajesh Verma,rajesh.verma.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Varanasi,Varanasi District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543212,Varanasi District Magistrate Office,2025-02-12 16:47:15.086,2025-02-12 16:48:41.229,true,,,,,,,,,,
cm7258yow0003u64gopl45zqr,Priya Tiwari,priya.tiwari.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Agra,Agra District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543213,Agra District Magistrate Office,2025-02-12 16:47:15.104,2025-02-12 16:48:41.25,true,,,,,,,,,,
cm7258ypg0004u64gzugfyzhg,Suresh Yadav,suresh.yadav.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Meerut,Meerut District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543214,Meerut District Magistrate Office,2025-02-12 16:47:15.124,2025-02-12 16:48:41.26,true,,,,,,,,,,
cm7258yps0005u64gai9qimzq,Neha Sharma,neha.sharma.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Prayagraj,Prayagraj District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543215,Prayagraj District Magistrate Office,2025-02-12 16:47:15.136,2025-02-12 16:48:41.277,true,,,,,,,,,,
cm7258yq70006u64gjtqt2ld0,Vikas Gupta,vikas.gupta.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Gorakhpur,Gorakhpur District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543216,Gorakhpur District Magistrate Office,2025-02-12 16:47:15.151,2025-02-12 16:48:41.291,true,,,,,,,,,,
cm7258yqp0007u64gnojmg3dw,Alok Singh,alok.singh.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Bareilly,Bareilly District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543217,Bareilly District Magistrate Office,2025-02-12 16:47:15.169,2025-02-12 16:48:41.308,true,,,,,,,,,,
cm7258yrb0008u64gctgx2izw,Sunita Devi,sunita.devi.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Moradabad,Moradabad District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543218,Moradabad District Magistrate Office,2025-02-12 16:47:15.192,2025-02-12 16:48:41.323,true,,,,,,,,,,
cm7258yrs0009u64gaqyc2eul,Rahul Mishra,rahul.mishra.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Saharanpur,Saharanpur District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543219,Saharanpur District Magistrate Office,2025-02-12 16:47:15.208,2025-02-12 16:48:41.334,true,,,,,,,,,,
cm7258ysb000au64gxo4oe9t4,Amit Patel,amit.patel.xcom@up.gov.in,COMMISSIONER,TOP,Lucknow,Lucknow District,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543220,Lucknow Commissioner Office,2025-02-12 16:47:15.227,2025-02-12 16:48:40.169,true,,,,,,,,,,
