id,email,name,age,gender,address,departmentId,rank,dateAssigned,contactNumber,aadharNumber,qualification,specialization
cm725dkd50000u6t43iv0fgi8,rajesh.verma902@gmail.com,Rajesh Verma,56,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Assistant Officer,2020-12-01 18:30:00,9722021850,9650 8649 2811,PhD,Urban Planning
cm725dkdv0001u6t4xwyh64xl,sita.devi409@gmail.com,Sita Devi,28,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Executive Officer,2019-06-23 18:30:00,9774717251,4449 175 7277,BTech,Infrastructure Management
cm725dke50002u6t4zvbc5bsi,sunil.yadav851@gmail.com,Sunil Yadav,25,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Deputy Officer,2023-03-13 18:30:00,9178386755,4834 13 6449,BTech,Environmental Engineering
cm725dkeg0003u6t47li38mbn,vikram.choudhary910@gmail.com,Vikram Choudhary,47,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Senior Officer,2018-10-19 18:30:00,9233680516,1793 5118 5774,MSc,Public Administration
cm725dkeo0004u6t44gq5xr1d,vikas.yadav278@gmail.com,Vikas Yadav,43,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Junior Officer,2021-03-22 18:30:00,9727821030,489 3917 8043,BTech,Infrastructure Management
cm725dkf00005u6t4jpnonp6s,rahul.sharma62@gmail.com,Rahul Sharma,42,Female,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Chief Officer,2023-11-17 18:30:00,9532182310,8586 7680 9239,MSc,Public Administration
cm725dkfe0006u6t4sia38plx,ashok.kumar420@gmail.com,Ashok Kumar,42,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dfx50000u6h4y67rc83j,Head Officer,2021-12-08 18:30:00,9269383421,1314 8701 4385,PhD,Urban Planning
cm725dkfs0007u6t4i2ud2s93,shalini.mishra419@gmail.com,Shalini Mishra,59,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dg0e0001u6h4by5yx0yk,Executive Officer,2019-01-07 18:30:00,9762370531,5892 230 8473,BTech,Infrastructure Management
cm725dkg70008u6t4g0thrc41,savitri.singh426@gmail.com,Savitri Singh,37,Male,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dg0e0001u6h4by5yx0yk,Assistant Officer,2018-04-26 18:30:00,9206631845,7537 6180 7224,PhD,Urban Planning
cm725dkgm0009u6t40mcuj47x,pooja.sharma644@gmail.com,Pooja Sharma,45,Female,"undefined, undefined, undefined, undefined, undefined, undefined, undefined",cm725dg0e0001u6h4by5yx0yk,Deputy Officer,2021-09-01 18:30:00,9579859994,409 553 1043,MTech,Civil Engineering
