id,email,name,password,role,createdAt,updatedAt
cm725espe0000u6o40tsgshuf,rajeshkumar575@gmail.com,Rajesh Kumar,rajeshkumar,CITIZEN,2025-02-12 16:51:47.282,2025-02-12 16:51:47.282
cm725esuf0003u6o4xgsfqsck,amitsingh420@gmail.com,Amit Singh,amitsingh,CITIZEN,2025-02-12 16:51:47.464,2025-02-12 16:51:47.464
cm725esxi0006u6o498e39glu,sureshgupta116@gmail.com,Suresh Gupta,sureshgupta,CITIZEN,2025-02-12 16:51:47.574,2025-02-12 16:51:47.574
cm725et130009u6o45e2rnkk7,ravisharma471@gmail.com,Ravi Sharma,ravisharma,CITIZEN,2025-02-12 16:51:47.704,2025-02-12 16:51:47.704
cm725et4a000cu6o41zd7iqyb,anjaliverma447@gmail.com,Anjali Verma,anjaliverma,CITIZEN,2025-02-12 16:51:47.819,2025-02-12 16:51:47.819
cm725et78000fu6o4prqzrin9,poojasingh544@gmail.com,Pooja Singh,poojasingh,CITIZEN,2025-02-12 16:51:47.924,2025-02-12 16:51:47.924
cm725eta6000iu6o4qzg92zul,vikramyadav750@gmail.com,Vikram Yadav,vikramyadav,CITIZEN,2025-02-12 16:51:48.03,2025-02-12 16:51:48.03
cm725etd4000lu6o4yat6nk7i,nehatiwari772@gmail.com,Neha Tiwari,nehatiwari,CITIZEN,2025-02-12 16:51:48.136,2025-02-12 16:51:48.136
cm725etg4000ou6o4rl07ye6a,rameshkumar65@gmail.com,Ramesh Kumar,rameshkumar,CITIZEN,2025-02-12 16:51:48.244,2025-02-12 16:51:48.244
cm725etjv000ru6o4daczpuqa,sunitadevi652@gmail.com,Sunita Devi,sunitadevi,CITIZEN,2025-02-12 16:51:48.379,2025-02-12 16:51:48.379
cm725etmm000uu6o4ozfcze5n,anilkumar137@gmail.com,Anil Kumar,anilkumar,CITIZEN,2025-02-12 16:51:48.478,2025-02-12 16:51:48.478
cm725etpq000xu6o4oj5jjkge,manojsingh547@gmail.com,Manoj Singh,manojsingh,CITIZEN,2025-02-12 16:51:48.591,2025-02-12 16:51:48.591
cm725etsw0010u6o4wavwgh5c,kavitasharma639@gmail.com,Kavita Sharma,kavitasharma,CITIZEN,2025-02-12 16:51:48.705,2025-02-12 16:51:48.705
cm725etvx0013u6o4hrr48ohe,rohitverma491@gmail.com,Rohit Verma,rohitverma,CITIZEN,2025-02-12 16:51:48.814,2025-02-12 16:51:48.814
cm725etzb0016u6o4t50johak,sanjaygupta53@gmail.com,Sanjay Gupta,sanjaygupta,CITIZEN,2025-02-12 16:51:48.936,2025-02-12 16:51:48.936
cm725eu330019u6o42ys5qkfo,priyasingh814@gmail.com,Priya Singh,priyasingh,CITIZEN,2025-02-12 16:51:49.072,2025-02-12 16:51:49.072
cm725eu6h001cu6o4vigm0y34,vijaykumar741@gmail.com,Vijay Kumar,vijaykumar,CITIZEN,2025-02-12 16:51:49.194,2025-02-12 16:51:49.194
cm725eub4001fu6o46mzcu0ek,anitayadav758@gmail.com,Anita Yadav,anitayadav,CITIZEN,2025-02-12 16:51:49.36,2025-02-12 16:51:49.36
cm725euec001iu6o4lkh68e2v,deepaksharma425@gmail.com,Deepak Sharma,deepaksharma,CITIZEN,2025-02-12 16:51:49.477,2025-02-12 16:51:49.477
cm725euhj001lu6o47cg3cj43,rakeshkumar226@gmail.com,Rakesh Kumar,rakeshkumar,CITIZEN,2025-02-12 16:51:49.591,2025-02-12 16:51:49.591
cm725eul5001ou6o4v1py5tm3,meenaverma80@gmail.com,Meena Verma,meenaverma,CITIZEN,2025-02-12 16:51:49.722,2025-02-12 16:51:49.722
cm725eunx001ru6o4rfs0r5st,arunkumar242@gmail.com,Arun Kumar,arunkumar,CITIZEN,2025-02-12 16:51:49.822,2025-02-12 16:51:49.822
cm725euqo001uu6o4oem4ssh6,nishagupta105@gmail.com,Nisha Gupta,nishagupta,CITIZEN,2025-02-12 16:51:49.921,2025-02-12 16:51:49.921
cm725euu3001xu6o4t56rbsbj,raviyadav88@gmail.com,Ravi Yadav,raviyadav,CITIZEN,2025-02-12 16:51:50.043,2025-02-12 16:51:50.043
cm725euxa0020u6o46xzm7ojk,sumanverma384@gmail.com,Suman Verma,sumanverma,CITIZEN,2025-02-12 16:51:50.158,2025-02-12 16:51:50.158
cm725ev0n0023u6o4wb0z64ia,pankajsingh127@gmail.com,Pankaj Singh,pankajsingh,CITIZEN,2025-02-12 16:51:50.279,2025-02-12 16:51:50.279
cm725ev3p0026u6o4e1wvi4g8,rohitkumar846@gmail.com,Rohit Kumar,rohitkumar,CITIZEN,2025-02-12 16:51:50.389,2025-02-12 16:51:50.389
cm725ev6m0029u6o4qdscphyp,anjaligupta887@gmail.com,Anjali Gupta,anjaligupta,CITIZEN,2025-02-12 16:51:50.495,2025-02-12 16:51:50.495
