id,email,name,age,gender,address,departmentId,position,dateJoined,contactNumber,emergencyContact,bloodGroup,aadharNumber
cm725eiwv0001u6xkanqd169e,arun.kumar@up.gov.in,Arun Kumar,32,Male,"123 Civil Lines, Lucknow",cm725dgse000tu6h4upm5zpn9,Senior Worker,2025-01-01 00:00:00,9876543210,9876543299,B+,8745 6321 9854
cm725eixm0003u6xkcs2uq3m7,sunita.sharma@up.gov.in,Sunita Sharma,28,Female,"45 Gomti Nagar, Lucknow",cm725dgiu000eu6h40hxar6vi,Junior Worker,2025-01-01 00:00:00,9876543211,9876543298,O+,7845 6932 1478
cm725eixx0005u6xkznqc5qcq,rajesh.singh@up.gov.in,Rajesh Singh,35,Male,"78 Indira Nagar, Lucknow",cm725dgpg000ru6h4pja8ts0a,Field Worker,2025-01-01 00:00:00,9876543212,9876543297,A+,6589 7412 3698
cm725eiy70007u6xk2admbqbe,meera.verma@up.gov.in,Meera Verma,29,Female,"234 Hazratganj, Lucknow",cm725dgpg000ru6h4pja8ts0a,Senior Worker,2025-01-01 00:00:00,9876543213,9876543296,AB+,9632 5874 1478
cm725eiyh0009u6xk1gjkjev0,amitabh.joshi@up.gov.in,Amit Joshi,31,Male,"56 Aliganj, Lucknow",cm725dgfe000bu6h40byv631f,Junior Worker,2025-01-01 00:00:00,9876543214,9876543295,B-,7412 5896 3214
cm725eiys000bu6xkowiaqu3u,priyagupta21@gmail.com,Priya Gupta,27,Female,"89 Mahanagar, Lucknow",cm725dhjp001ku6h46h56cs13,Field Officer,2025-01-01 00:00:00,9451000001,9451000091,O-,8529 6374 1597
cm725eizh000du6xkq72mpczn,karanmalhotra45@gmail.com,Karan Malhotra,33,Male,"12 Vikas Nagar, Lucknow",cm725dfx50000u6h4y67rc83j,Technical Assistant,2025-01-01 00:00:00,9451000002,9451000092,A-,9517 5358 7456
cm725eizq000fu6xkell4xfxl,divyasrivastava32@gmail.com,Divya Srivastava,30,Female,"167 Butler Colony, Lucknow",cm725dg3k0003u6h4e8f3kb9h,Administrator,2025-01-01 00:00:00,9451000003,9451000093,AB-,7539 5168 4826
cm725eizz000hu6xkukdugn2b,arjunpatel78@gmail.com,Arjun Patel,34,Male,"45 Aminabad, Lucknow",cm725dhlg001lu6h4i24bf51k,Field Supervisor,2025-01-01 00:00:00,9451000004,9451000094,A+,8523 6974 1597
cm725ej08000ju6xkbieye29a,nidhisaxena55@gmail.com,Nidhi Saxena,29,Female,"23 Charbagh, Lucknow",cm725dgaz0008u6h4o1r9mtq7,Support Staff,2025-01-01 00:00:00,9451000005,9451000095,B+,9632 5874 1597
cm725ej0j000lu6xkyxov793p,rohityadav66@gmail.com,Rohit Yadav,31,Male,"78 Gomti Nagar, Lucknow",cm725dgv4000vu6h4pyaidp0c,Field Officer,2025-01-01 00:00:00,9451000041,9451000096,A+,7539 5148 2648
cm725ej0u000nu6xkqfyytqcl,anjalimishra89@gmail.com,Anjali Mishra,28,Female,"34 Indira Nagar, Lucknow",cm725dh6r0013u6h41cjnqq28,Technical Assistant,2025-01-01 00:00:00,9451000042,9451000097,B+,8523 6974 1597
cm725ej13000pu6xkeervkfli,sureshkumar23@gmail.com,Suresh Kumar,35,Male,"90 Hazratganj, Lucknow",cm725dgfe000bu6h40byv631f,Administrator,2025-01-01 00:00:00,9451000043,9451000098,O+,9517 5358 7456
cm725ej1c000ru6xk049h0f0u,poojasharma44@gmail.com,Pooja Sharma,30,Female,"12 Aliganj, Lucknow",cm725dg830006u6h44jyrjmcn,Field Supervisor,2025-01-01 00:00:00,9451000044,9451000099,AB+,7412 5896 3214
cm725ej1m000tu6xk3nd1gruk,manojtiwari77@gmail.com,Manoj Tiwari,32,Male,"56 Mahanagar, Lucknow",cm725dhlg001lu6h4i24bf51k,Support Staff,2025-01-01 00:00:00,9451000045,9451000100,B-,8529 6374 1597
cm725ej1x000vu6xkh31xrbsr,raviverma91@gmail.com,Ravi Verma,29,Male,"23 Civil Lines, Lucknow",cm725dgli000gu6h4ldtj08z8,Field Officer,2025-01-01 00:00:00,9451000136,9451000101,A-,9632 5874 1478
cm725ej26000xu6xkpfz9i8mx,nehagupta34@gmail.com,Neha Gupta,31,Female,"45 Butler Colony, Lucknow",cm725dgwf000wu6h4xx4n22q9,Technical Assistant,2025-01-01 00:00:00,9451000137,9451000102,O+,7845 6932 1478
cm725ej2g000zu6xkqgcg0hz5,amitsingh88@gmail.com,Amit Singh,34,Male,"89 Aminabad, Lucknow",cm725dg560004u6h4g36ue2gh,Administrator,2025-01-01 00:00:00,9451000138,9451000103,B+,8745 6321 9854
cm725ej2o0011u6xk3n9zc99g,meenakshirai67@gmail.com,Meenakshi Rai,27,Female,"12 Charbagh, Lucknow",cm725dg830006u6h44jyrjmcn,Field Supervisor,2025-01-01 00:00:00,9451000139,9451000104,AB+,6589 7412 3698
